File No,Applicant Name,Location/ Controlled Area,Purpose,Activity,Granted Area,District,CLU Permission on,CLU Corrigendum on,clu_year,Sl. No.,Location on Map
CLU/KL-835,Sh. Kulbir Singh S/o Sh. Hardaman Singh,Karnal,Warehouse,Warehouse (Agro Based),24786.8sqm.,Karnal,29/10/2013,--,2013,223,Map View
CLU/KL-836,Dhingra Tracting Pvt. Ltd.,Gharaunda,Industrial,Service Station,4459.25sqm.,Karnal,20/06/2013,--,2013,127,Map View
CLU/KL-837,Sh. Vijay Kumar,Karnal,Commercial,Petrol Pump,0.30269Acres,Karnal,13/06/2013,--,2013,125,Map View
CLU/KL-838,M/s Metro Meters Pvt. Ltd.,Karnal,Industrial,Service Garage,4350.33sqm.,Karnal,10/12/2013,--,2013,262,Map View
CLU/KL-842,Sh. Devender Singh Niketan,Karnal,Warehouse,Godown,29803.2sqm.,Karnal,02/07/2013,--,2013,141,Map View
CLU/KL-821,Comfortworth Hotels Pvt. Ltd.,Addl. Area-III Panipat,Commercial,Motel without Banquet Facilities,12696.9sqm.,Karnal,12/09/2014,--,2014,208,Map View
CLU/KL-853,Sh. Sukaran Makkar & Sh. Nitesh Makkar,Nilokheri-Taraori,Warehouse,Godown,20158.2sqm.,Karnal,18/02/2014,--,2014,27,Map View
CLU/KL-854,"Smt. Meenakshi W/o Sh. Yoginder, Smt. Meena devi W/o Sh. Ravinder",Nilokheri-Taraori,Commercial,Dhaba,2799.21sqm.,Karnal,15/07/2014,--,2014,78,Map View
CLU/KL-855,M/s Garg International Th. Sh. Rajesh Kumar Gupta,Nilokheri-Taraori,Industrial,Industrial Unit,3743.31sqm.,Karnal,25/02/2014,--,2014,31,Map View
CLU/KL-856,Smt. Sarika Jain W/o Sh. Manoj Jain,Karnal,Commercial,Retail Outlet,1264.63sqm.,Karnal,25/02/2014,--,2014,30,Map View
CLU/KL-858,M/s New India Enterprises,Karnal,Industrial,Industrial Unit,2782.19sqm.,Karnal,02/07/2014,--,2014,72,Map View
CLU/KL-862,Ekta Rice Land,Gharaunda,Warehouse,Godown (foodgrain),18463.8sqm.,Karnal,27/08/2014,--,2014,151,Map View
CLU/KL-863,Bagpoly International,Gharaunda,Industrial,Industrial Unit,6654.77sqm.,Karnal,17/06/2015,--,2015,18,Map View
CLU/KL-864,Ekta Rice Land,Gharaunda,Industrial,Industrial Unit,7790.13sqm.,Karnal,15/05/2015,--,2015,8,Map View
CLU/KL-865,Sh. Suresh Kumar S/o Sh. Mohan Lal,Nilokheri-Taraori,Recreational,Recreational Purpose,2655.73sqm.,Karnal,10/06/2015,--,2015,16,Map View
CLU/KL-866,Beri Udyog Ltd.,Gharaunda,Industrial,Industrial,138351sqm.,Karnal,08/10/2015,--,2015,114,Map View
CLU/KL-867,Evergreen Overseed Silky and Sortex,Nilokheri-Taraori,Industrial,Industrial Unit,1517.34sqm.,Karnal,01/10/2015,--,2015,90,Map View
CLU/HR-826,Smt. Gyanwati W/o Late Sh. Munshi Ram,Hisar,Residential,Farmhouse,836.13sqm.,Karnal,01/09/2016,--,2016,185,Map View
CLU/KL-870,Sh. Kuldeep Singh S/o Sh. Chhabeg Singh,Gharaunda,Commercial,Retail Outlet (Essar),1225sqm.,Karnal,07/04/2016,--,2016,60,Map View
CLU/KL-871,Sh. Deepak Kumar Munjal S/o Sh. Raj Kishan,Nilokheri-Taraori,Commercial,Retail Outlet,1011.56sqm.,Karnal,26/02/2016,--,2016,33,Map View
CLU/KL-875,Sh. Nishan Singh S/o Sh. Gurdev Singh,Assandh,Commercial,Retail Outlet of Essar Energy,1365.8sqm.,Karnal,20/05/2016,--,2016,91,Map View
CLU/KL-877,Sh. Shamsher Singh S/o Sh. Babu Ram,Karnal,Commercial,Retail Outlet (PP),1515.5sqm.,Karnal,29/12/2016,--,2016,282,Map View
CLU/KL-878,Universal Tillage Solutions Pvt. Ltd.,Karnal,Warehouse,Warehouse Godown (Commercial),19892.7sqm.,Karnal,31/08/2016,--,2016,184,Map View
CLU/KL-879,Smt. Neelam W/o Sh. Satpal,Indri,Commercial,Retail Outlet,1225sqm.,Karnal,02/08/2016,--,2016,157,Map View
CLU/KL-881,Raunaq Education Foundation,Nilokheri-Taraori,Institutional,Sr. Sec. School,11305.8sqm.,Karnal,24/10/2016,--,2016,237,Map View
CLU/KL-885,Sh. Amrinder Singh S/o Sh. Gurmukh Singh,Nilokheri-Taraori,Commercial,Retail Outlet (PP),1225sqm.,Karnal,18/07/2016,--,2016,131,Map View
CLU/KL-876,Smt. Annu Bansal W/o Sh. Ajay Bansal,Gharaunda,Recreational,Amusement Park,15308.3sqm.,Karnal,06/03/2017,--,2017,47,Map View
CLU/KL-883,Puran Chand Rice Mills Pvt. Ltd.,ACA Karnal,Warehouse,Warehouse Godown for storage of Agro Produce,16318.2sqm.,Karnal,11/01/2017,--,2017,9,Map View
